video_id,channel_id,video_length,views_final,impressions_final,like_final,comment_final,views3s_1k,impressions_1k,like_1k,comments_1k,views3s_5k,impressions_5k,like_5k,comments_5k
a9121b4d190a72831d2dc633899f9886d637cbdad71a160959bfbf670bcd0b2e,5e60b6a0093c7a15552e8910bc25657909bbd6d8d90ad4ebfa0055a65f749c45,486,1186.0,2937.0,17.0,8.0,360,1000,9.0,4.0,,,,
ccbab12b897a94024d3a5c5006755694cb67fd924bf649784a59c3d3e404cf35,6000942cb260685233921b6542af8e97a66f33436526d7b33fdc05873a3532a7,359,994.0,3027.0,1.0,,293,1124,,,,,,
58006937d7695b285f9854bf86a0d63a1476f5789252755d02db88dd0898c889,bab3e0fb356b5dab60dfbfbc33a611547250e93830f6f0627a2a6688f132a8b8,785,60904.0,96520.0,1094.0,51.0,593,1160,23.0,3.0,4002.0,6710.0,127.0,11.0
aed6fc904f6f00b910f45e507010c1c4d705ec6790881305b144db130ab35226,5d96a53e86146ebf510f265951d5fe2e9dcdb8c55700187765877df345d8465a,209,10085.0,18922.0,326.0,1.0,366,2115,48.0,,2546.0,5346.0,99.0,
91423a16a2a5fc24cda7bd93403c52f1198dfb7a62ad0c3463003d064e0466fb,cd0c9afcf7a1c5c5f2e80747041df16c661074594493a1bd9626484f04ae1d08,412,130986.0,286634.0,760.0,116.0,9471,39359,185.0,7.0,9471.0,39359.0,185.0,7.0
ac4f4163917b5bb69c1b227a075817a830ee8afc93bef678ffbd95f59799b75a,7687f7c22713a0ba4ce088fb9b5c32a2d9c03567759c288ce7996bfec1b0228e,186,886216.0,1160128.0,29008.0,184.0,2813,3266,113.0,2.0,6029.0,8773.0,271.0,5.0
061287596b4a02efaff23eacba6fc9ee2d31b6f6daebd60e46c60b8a7ca9f025,a45ac131cbca37a25a5527b76bb9910cc4ee9689670af02c1a4a0d975f1307b9,338,534100.0,1006887.0,7151.0,165.0,17679,31591,494.0,27.0,17679.0,31591.0,494.0,27.0
4250d891dfeba257ef2367c37e29865b4555120d26aa43636844d04c77b5b9f7,29a69f4cd31f2c5a88e7a5e16a621e8d2d3fd2971cbadb98ca7fe8657ca33126,400,203323.0,382255.0,2174.0,351.0,1643,2855,12.0,3.0,3424.0,7966.0,28.0,12.0
6b077779c9bf0d4577395c27bdf4982d1f58f83d32e63f8add60245104050517,b2a09a152e15fce286c2e1acc1b5dcc0a9f88a77e85bffd508448c2ec7c81de0,486,6730.0,23724.0,103.0,4.0,358,1173,4.0,1.0,1599.0,5266.0,29.0,1.0
4000dff9e9e3ac251fd2d0877fade4cce9475926bac1a27dc30f977995b66bf8,71ac149ef9f89eb665b5a302c11e4a550ba39804c374c9cb2df771eb67728702,569,96350.0,189558.0,1972.0,177.0,328,1396,27.0,1.0,2113.0,5168.0,115.0,6.0
479d65515ff65e5d7a9bd892a803cd7ed294c42a0bf8bb220c4a1d68fa72fdc8,c6e306503b958cbc31ba453d3f74ab1b652e0071db92bcb29fc27be026de0ead,377,133155.0,222315.0,1760.0,5.0,401,1002,4.0,,2096.0,5033.0,23.0,
8285db6d3c63c7d62b12677ebf3ba2e1800f4ccca7707c9c24429fdad5610e2b,b8c9cc7240788a81b170299d5a0ed69aae5e46245204730f086c21b96d49add8,455,863112.0,1477547.0,7173.0,688.0,3818,8955,110.0,6.0,3818.0,8955.0,110.0,6.0
d341aa078021e95cb232b287dca8bee251396584408703ca6a4e8f49f4500a8d,a628b4f3b36dc37c06a9487a8efacf2f06a0f1961445a61465b169ac66bf4bd3,194,339402.0,561518.0,7312.0,43.0,4811,9740,101.0,4.0,4811.0,9740.0,101.0,4.0
c5c4138abd3f6664205aba3f906b7c3c0197bb7595e67e26110aa9b068c1a587,17f2d18eb184d505c35833aeecc5d6176a67de8864eaba636674d37d7ac0d037,367,192981.0,344443.0,12763.0,992.0,2246,6271,440.0,46.0,2246.0,6271.0,440.0,46.0
4591b8e24c64b5f7e277040aa3086ad4509a3436d0bf1555fe1d469dbe7fad6d,a45ac131cbca37a25a5527b76bb9910cc4ee9689670af02c1a4a0d975f1307b9,331,231117.0,447352.0,3295.0,70.0,11357,23363,287.0,6.0,11357.0,23363.0,287.0,6.0
62ec4e48dba019e57b4386500229c28f735ef38a3f08b4c9ffb61736d25703f6,1bc8f9c9060c6af2954a86be023dc92c5b79fe3ae76540b0b18d14acb9805355,248,110116.0,198120.0,1827.0,49.0,518,1062,36.0,2.0,3167.0,5578.0,112.0,4.0
d17c9f689083a60920d7241e5a96cc3856238cec335ca4a47bd714b136d11d8e,6000942cb260685233921b6542af8e97a66f33436526d7b33fdc05873a3532a7,194,12784.0,25076.0,425.0,14.0,522,1003,11.0,,2654.0,5170.0,37.0,
